gender,age,maritalStatus,children,education,income,destination,passanger,weather,temperature,time,visitPub,visitCoffeeHouse,visitFastFood,visitFoodCourt,visitRestaurant,storeType,offerEndSoon,moreThan5km,moreThan15km,sameDirection,stopBy(y)
Female,21,Partner,0,College,$87500 - $99999,Others,Friends,Sunny,28,18,sometimes,very often,often,often,rarely,Food Court,Yes,0,0,0,1
Female,26,Married,0,Graduate degree,$50000 - $62499,Others,Partner,Sunny,28,10,rarely,rarely,rarely,very often,rarely,Coffee House,No,0,0,0,0
Female,31,Married,0,College,$100000 or More,Home,Alone,Sunny,28,18,rarely,rarely,very often,often,sometimes,Coffee House,Yes,0,0,1,1
Male,46,Single,0,College,Less than $12500,Others,Friends,Sunny,0,22,often,often,sometimes,rarely,sometimes,Fast Food,No,1,0,0,1
Female,21,Married,1,College,$25000 - $37499,Work,Alone,Sunny,13,7,never,very often,sometimes,very often,sometimes,Coffee House,Yes,1,1,0,1
Male,36,Married,1,Graduate degree,$100000 or More,Others,Alone,Sunny,13,14,rarely,often,sometimes,sometimes,rarely,Food Court,No,0,0,0,1
Female,41,Married,1,Graduate degree,$75000 - $87499,Others,Friends,Sunny,13,22,rarely,often,very often,sometimes,rarely,Pub,Yes,1,0,0,0
Female,31,Single,0,Associates degree,$75000 - $87499,Others,Friends,Sunny,28,18,,rarely,very often,sometimes,rarely,Food Court,Yes,0,0,0,0
Male,18,Single,0,College,$62500 - $74999,Others,Friends,Sunny,28,14,never,sometimes,sometimes,never,sometimes,Coffee House,No,1,0,0,1
Male,26,Single,0,High School Graduate,$12500 - $24999,Others,Alone,Sunny,13,10,never,never,often,sometimes,never,Coffee House,Yes,0,0,0,1
Female,41,Married,1,Bachelors degree,$62500 - $74999,Others,Family,Sunny,13,14,sometimes,often,often,often,sometimes,Food Court,No,1,0,0,1
Male,21,Partner,0,High School Graduate,$37500 - $49999,Others,Friends,Rainy,13,22,never,rarely,often,often,rarely,Pub,Yes,1,0,0,1
Female,55,Single,0,Bachelors degree,$25000 - $37499,Others,Friends,Sunny,28,14,never,rarely,sometimes,sometimes,sometimes,Coffee House,No,1,0,0,0
Male,26,Single,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,13,14,often,sometimes,sometimes,sometimes,rarely,Coffee House,No,0,0,0,1
Female,21,Single,0,College,Less than $12500,Home,Alone,Sunny,28,22,very often,very often,sometimes,rarely,never,Food Court,Yes,0,0,1,0
Female,21,Single,0,College,$12500 - $24999,Work,Alone,Sunny,13,7,never,often,often,often,never,Food Court,No,0,0,0,1
Male,26,Single,0,Bachelors degree,$62500 - $74999,Home,Alone,Sunny,28,18,often,never,often,sometimes,rarely,Pub,Yes,0,0,1,1
Female,31,Married,1,Graduate degree,$62500 - $74999,Work,Alone,Sunny,28,7,never,rarely,sometimes,rarely,rarely,Restaurant,No,1,0,0,1
Male,36,Married,1,College,$50000 - $62499,Others,Friends,Sunny,28,10,rarely,sometimes,often,sometimes,sometimes,Coffee House,Yes,0,0,0,1
Male,55,Single,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,0,10,sometimes,often,often,sometimes,rarely,Fast Food,Yes,0,0,0,1
Female,21,Married,1,Associates degree,$50000 - $62499,Home,Family,Sunny,13,22,never,sometimes,sometimes,sometimes,sometimes,Restaurant,No,1,0,1,1
Female,26,Married,0,Associates degree,$37500 - $49999,Others,Alone,Sunny,13,18,rarely,sometimes,sometimes,sometimes,sometimes,Coffee House,Yes,0,0,0,1
Female,55,Single,0,Bachelors degree,Less than $12500,Home,Alone,Sunny,28,18,never,never,rarely,rarely,never,Food Court,Yes,0,0,1,1
Male,31,Married,1,Bachelors degree,$50000 - $62499,Others,Friends,Sunny,28,10,never,never,never,rarely,,Coffee House,Yes,1,0,0,1
Male,26,Single,0,Bachelors degree,$75000 - $87499,Others,Partner,Rainy,13,10,never,never,rarely,rarely,rarely,Fast Food,Yes,0,0,0,0
Female,21,Single,0,High School Graduate,$100000 or More,Others,Friends,Sunny,28,18,never,never,rarely,never,never,Food Court,No,1,0,0,1
Male,31,Single,0,College,$50000 - $62499,Work,Alone,Rainy,13,7,sometimes,often,often,often,sometimes,Fast Food,No,0,0,0,1
Female,41,Married,1,Bachelors degree,$100000 or More,Others,Family,Sunny,28,10,never,sometimes,sometimes,sometimes,rarely,Fast Food,Yes,1,0,0,0
Male,31,Single,0,Bachelors degree,Less than $12500,Home,Alone,Sunny,13,18,rarely,sometimes,very often,sometimes,never,Restaurant,No,1,0,0,0
Male,21,Single,0,High School Graduate,$50000 - $62499,Home,Alone,Sunny,28,18,never,sometimes,very often,often,never,Coffee House,No,0,0,1,1
Female,36,Married,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,13,22,rarely,never,sometimes,rarely,rarely,Pub,Yes,1,0,0,0
Female,55,Widowed,1,Associates degree,$12500 - $24999,Others,Partner,Rainy,13,18,rarely,rarely,often,sometimes,rarely,Pub,Yes,1,0,0,0
Female,26,Married,0,Graduate degree,$62500 - $74999,Home,Alone,Sunny,28,18,often,sometimes,often,often,sometimes,Food Court,Yes,0,0,1,1
Male,46,Married,1,Graduate degree,$87500 - $99999,Home,Alone,Sunny,13,18,rarely,sometimes,sometimes,rarely,sometimes,Restaurant,No,1,0,0,0
Male,55,Married,1,College,$62500 - $74999,Others,Alone,Rainy,13,10,sometimes,never,sometimes,sometimes,rarely,Coffee House,No,1,0,0,0
Male,36,Single,0,College,$25000 - $37499,Others,Alone,Sunny,28,22,rarely,never,rarely,rarely,rarely,Food Court,No,0,0,0,1
Male,31,Married,1,Bachelors degree,$50000 - $62499,Home,Alone,Sunny,28,18,never,never,never,rarely,,Food Court,Yes,0,0,1,1
Male,36,Partner,0,Bachelors degree,$62500 - $74999,Home,Partner,Sunny,0,18,often,sometimes,very often,very often,sometimes,Food Court,No,1,1,0,1
Female,55,Widowed,1,Associates degree,$12500 - $24999,Others,Friends,Sunny,28,18,rarely,rarely,often,sometimes,rarely,Food Court,Yes,0,0,0,0
Female,36,Married,1,Bachelors degree,$50000 - $62499,Others,Family,Sunny,28,10,,sometimes,often,sometimes,sometimes,Food Court,Yes,1,0,0,1
Female,41,Married,1,Associates degree,$62500 - $74999,Others,Friends,Sunny,0,10,rarely,rarely,rarely,rarely,rarely,Fast Food,Yes,0,0,0,1
Female,55,Single,0,Graduate degree,$12500 - $24999,Work,Alone,Sunny,28,7,never,often,sometimes,sometimes,never,Coffee House,No,1,0,1,1
Female,41,Married,1,College,$100000 or More,Others,Friends,Sunny,28,18,never,very often,very often,very often,often,Food Court,Yes,0,0,0,1
Male,55,Married,1,Associates degree,$37500 - $49999,Home,Alone,Snowy,0,22,never,never,often,often,never,Restaurant,Yes,0,0,0,0
Female,31,Married,1,Associates degree,$37500 - $49999,Home,Alone,Sunny,13,18,never,sometimes,sometimes,sometimes,sometimes,Coffee House,No,1,0,1,1
Male,21,Single,0,Graduate degree,$50000 - $62499,Others,Friends,Sunny,28,10,never,never,sometimes,rarely,never,Fast Food,Yes,1,0,0,1
Female,26,Single,0,Graduate degree,$25000 - $37499,Home,Alone,Sunny,13,18,sometimes,sometimes,sometimes,very often,sometimes,Pub,No,0,0,1,1
Female,41,Divorced,1,Bachelors degree,$12500 - $24999,Work,Alone,Sunny,13,7,never,very often,rarely,sometimes,never,Pub,No,1,1,0,0
Male,36,Single,0,College,$50000 - $62499,Home,Alone,Sunny,13,18,never,never,rarely,often,rarely,Pub,No,0,0,1,0
Female,21,Partner,0,College,$25000 - $37499,Others,Partner,Sunny,28,18,never,rarely,rarely,rarely,never,Pub,Yes,1,0,0,1
